# tzdb timezone descriptions, for users who do not care about old timestamps
#
# This file is in the public domain.
#
# From Paul Eggert (2023-12-18):
# This file contains a table where each row stands for a timezone
# where civil timestamps are predicted to agree from now on.
# This file is like zone1970.tab (see zone1970.tab's comments),
# but with the following changes:
#
# 1.  Each timezone corresponds to a set of clocks that are planned
#     to agree from now on.  This is a larger set of clocks than in
#     zone1970.tab, where each timezone's clocks must agree from 1970 on.
# 2.  The first column is irrelevant and ignored.
# 3.  The table is sorted in a different way:
#     first by standard time UTC offset;
#     then, if DST is used, by daylight saving UTC offset;
#     then by time zone abbreviation.
# 4.  Every timezone has a nonempty comments column, with wording
#     distinguishing the timezone only from other timezones with the
#     same UTC offset at some point during the year.
#
# The format of this table is experimental, and may change in future versions.
#
# This table is intended as an aid for users, to help them select timezones
# appropriate for their practical needs.  It is not intended to take or
# endorse any position on legal or territorial claims.
#
#XX	coordinates	TZ	comments
#
# -11 - SST
XX	-0610+10648	Asia/Jakarta	Indonesia ("WIB")
#
# +08
XX	+0117+10351	Asia/Singapore	Russia; Brunei; Malaysia; Singapore; Concordia
#
# +08 - AWST
XX	-3157+11551	Australia/Perth	Western Australia ("AWST")
#
# +08 - CST
XX	+3114+12128	Asia/Shanghai	China ("CST")
#
# +08 - HKT
XX	+2217+11409	Asia/Hong_Kong	Hong Kong ("HKT")
#
# +08 - PHT
XX	+143512+1205804	Asia/Manila	Philippines ("PHT")
#
# +08 - WITA
XX	-0507+11924	Asia/Makassar	Indonesia ("WITA")
#
# +08:45
XX	-3143+12852	Australia/Eucla	Eucla
#
# +09
XX	+5203+11328	Asia/Chita	Russia; Palau; East Timor
#
# +09 - JST
XX	+353916+1394441	Asia/Tokyo	Japan ("JST"); Eyre Bird Observatory
#
# +09 - KST
XX	+3733+12658	Asia/Seoul	Korea ("KST")
#
# +09 - WIT
XX	-0232+14042	Asia/Jayapura	Indonesia ("WIT")
#
# +09:30 - ACST
XX	-1228+13050	Australia/Darwin	Northern Territory ("ACST")
#
# +09:30/+10:30 - ACST/ACDT (Australia DST)
XX	-3455+13835	Australia/Adelaide	South Australia ("ACST/ACDT")
#
# +10
XX	+4310+13156	Asia/Vladivostok	Russia; Yap; Chuuk; Papua New Guinea; Dumont d'Urville
#
# +10 - AEST
XX	-2728+15302	Australia/Brisbane	Queensland ("AEST")
#
# +10 - ChST
XX	+1328+14445	Pacific/Guam	Mariana Islands ("ChST")
#
# +10/+11 - AEST/AEDT (Australia DST)
XX	-3352+15113	Australia/Sydney	southeast Australia ("AEST/AEDT")
#
# +10:30/+11
XX	-3133+15905	Australia/Lord_Howe	Lord Howe Island
#
# +11
XX	-0613+15534	Pacific/Bougainville	Russia; Kosrae; Bougainville; Solomons
#
# +11/+12 (Australia DST)
XX	-2903+16758	Pacific/Norfolk	Norfolk Island
#
# +12
XX	+5301+15839	Asia/Kamchatka	Russia; Tuvalu; Fiji; etc.
#
# +12/+13 (New Zealand DST)
XX	-3652+17446	Pacific/Auckland	New Zealand ("NZST/NZDT")
#
# +12:45/+13:45 (Chatham DST)
XX	-4357-17633	Pacific/Chatham	Chatham Islands
#
# +13
XX	-210800-1751200	Pacific/Tongatapu	Kanton; Tokelau; Samoa (western); Tonga
#
# +14
XX	+0152-15720	Pacific/Kiritimati	Kiritimati
